2023-05-02 12:54:23.077 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:54:27.119 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:54:30.848 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:54:34.485 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:54:38.240 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:54:41.598 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:54:42.936 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:54:47.365 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:54:50.659 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:54:54.503 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:54:55.923 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:01.868 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:06.508 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:10.320 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:11.254 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:12.229 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:13.540 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:16.248 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:19.257 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:20.931 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:22.529 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:24.606 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:29.283 | DEBUG    | __main__:start_game:18 - Starting...
2023-05-02 12:55:34.041 | DEBUG    | __main__:start_game:18 - Starting...
